GEOID,Miles to the nearest clinic
21007,119.15065124121786
21017,201.9513437765547
21031,204.35003520620197
21065,164.1748008364115
21069,201.15982667478127
21093,205.7813516038504
21099,219.526472744818
21131,112.8512577193094
21151,174.77348717575748
21155,202.36774050839296
21179,217.3549219884542
17091,28.318956763838013
17187,52.31136155731438
17197,15.666330275972244
18027,114.46653820891848
18061,173.839408762259
01001,314.73677847338803
01005,303.5446624778969
01023,409.9429934805167
01035,384.0571756654376
01051,291.1859488463519
01055,224.41597155299496
01065,349.59978734651764
01089,233.1247068619971
01113,272.6292530238847
01117,283.72947704279056
02130,231.96986737534195
02180,461.8396084810594
02282,221.90113042676325
05011,374.37853905453466
05015,188.37056509330068
05019,339.8194359756122
05025,346.7055139734522
05063,215.6986815392475
05067,217.83588749882784
05121,166.01808667505608
06001,1.882791538812602
06003,54.30521557527628
06005,36.45123162390403
06013,6.31887569408343
06019,7.643374565356854
06023,14.78949654203344
06033,11.348849193975571
06037,13.463304269072394
06047,16.072020407986603
06057,15.013552673769452
06081,7.182990947227466
06085,9.208928250961694
06115,17.20315078978524
08013,6.109938128342375
08029,40.62107802158567
08049,38.432301768796705
08077,6.9894295057537255
08083,0.9983513171384096
08091,62.94007767893843
09009,6.293930496622124
11001,0.8579227364269979
12009,439.9948327804238
12023,352.63711455275575
12039,364.7586120609066
12055,514.624282888296
12065,362.8820524535332
12073,366.91740489246513
12095,440.64565522254907
12107,383.4774987019689
12123,384.27467477835705
12127,403.3456349046072
12131,399.5947415263118
12133,387.0973095785655
13009,177.621409214084
13027,331.92173313000694
13103,191.938181496426
13121,164.616924642537
13141,161.2764309460447
13149,215.38432108007197
13179,229.9995822548416
13183,237.76598772640085
13189,144.66272983326866
13209,224.6901774629687
13229,270.80126527683177
13267,222.85231276610753
13271,250.23959316936129
13291,96.23159977213638
13305,253.4950662083992
13319,194.7375375206039
15007,118.92415099382237
16015,191.3574146426437
16023,284.4551376186773
16025,249.2952520507579
16027,185.88290784539333
16037,221.3666481587214
16039,233.86987190975495
16043,325.6397918783906
16061,48.818664590963145
16063,295.5433044079945
16085,155.55946565071045
19175,133.41854239529764
20053,84.59592716781832
20095,46.26467592385222
20135,152.0400698931265
20199,166.26955994072742
48011,264.4244383801571
48025,581.7773574130654
48035,398.8618762876994
48053,477.77068719405673
48055,540.8436114057008
48083,421.8867355875756
29057,111.78894714432292
29143,139.49602655520798
29157,62.18634709661077
29189,16.683119285708905
29199,134.6687693662317
29207,120.33078100694703
30015,317.3439824301069
30023,201.60655919421663
30029,154.5135410050706
30039,179.4041437927727
30057,271.2284207601647
30071,434.6738933200244
30077,201.5234810038724
30085,532.9355454028091
30087,396.3965322014901
30105,492.3001061509907
31091,214.05130780561055
53065,54.14943365961808
21189,140.2838195562765
21195,129.06311870389254
21217,196.75746461093544
21237,156.42576218264415
21239,207.60470348713264
22001,580.59356123004
22009,531.1450469710261
22011,534.2923833069552
22029,502.032681845832
22031,436.6268332345928
22033,559.3078364573879
22047,580.2338203012584
22071,572.7348694462293
22081,445.17904487046286
22099,585.5712783111221
22119,408.4836683437311
23013,6.970983502370997
23015,2.3990948747727736
24003,5.564440573277166
18103,100.91073705382824
18129,121.61117899818274
18147,157.8870390420385
19001,152.952625347328
19045,78.80033267788187
19083,120.04302760352697
19111,97.98754370633829
31167,235.55627291356737
34003,2.5594793149728474
34007,4.141664031579915
34013,2.0635128625576673
34023,1.8519024151875365
34041,6.860882072257346
35007,90.019805948036
35011,126.29137355937624
35051,61.949363649535584
36013,51.96802535318398
36029,5.623666096432652
36043,26.661738627379144
36045,5.241186883517415
36047,1.071328214087052
36053,23.101306088596075
36065,13.984095900814047
36077,28.31590993948305
36081,0.713736864639998
36091,3.6462099094591616
36115,9.7490513883352925
37007,42.5164606241023
37027,61.41805314461039
37039,90.6642938768152
37049,78.97452768196482
37055,74.21593205194198
37059,17.51726100238638
37069,26.178362816807823
37083,62.410706304452894
37091,53.78942637193995
37093,16.348062815001917
37099,38.81049313229648
37111,28.764061148371347
37117,85.06120604439032
37127,37.55325287351986
37165,33.86313159771704
37175,29.525883982252907
37199,24.64675807075567
38017,226.50055669555377
38037,410.1158428573458
38085,379.1683184387528
38099,284.551000540193
39035,109.8316058996382
39039,164.17313916651244
39043,150.6173752979538
39125,163.09371725973276
40065,244.3337701333908
48103,243.9315859515223
48141,23.60398399704619
48151,369.3175994607968
48161,416.77956907436675
48167,584.9382599472411
48199,532.7063913241036
48213,385.4274655662437
48229,77.83112662973268
48241,512.9016065041524
48245,566.249533130202
48261,634.8882402077545
48289,445.97225758024587
48317,275.974158196544
48333,432.8221040986937
48347,444.5231899712364
48361,555.893275506237
48371,242.1769725081588
48395,460.5848912033665
48423,382.9247724414282
48427,599.3657289591458
48457,504.181991135187
48471,488.1857455749987
48475,208.84124092813417
48477,516.9197219611733
48499,353.88754152485916
49001,180.99500032331557
49003,291.8949896816411
49011,229.51229594326315
40073,125.10687231397335
40079,239.44856058241615
40145,153.3222845990039
41005,23.857543030777546
41021,75.96249926817205
41033,13.419885679550053
41035,63.436223084508526
41039,12.128437775349662
41043,36.4668030990845
41051,3.2216159930365604
41055,82.39640601948228
41061,53.89965166476755
42005,34.216913324003336
42029,7.426596773528163
42035,69.88638393034901
42059,42.23703030354578
42067,31.16069060235736
42091,6.260884997933399
42111,58.27786938078478
45005,149.84210221703464
45019,150.4829749785687
45025,52.7444103325209
45043,96.87365070000234
45063,87.2274180066095
45077,48.759177030263416
45091,20.139463782539504
46073,269.2162385471021
46093,300.96506370514527
46095,298.8687902602771
46123,321.24775093521316
47001,99.09692881450664
47003,220.07191689474783
47005,203.84779089996323
47019,53.24394745398404
47029,39.059961048004006
47049,143.8384854910051
47063,58.42442298195596
47073,61.95196342996513
47081,237.3749984891849
47097,196.7415973565134
47121,127.40859461871484
47149,217.95263533118117
47173,86.26981697182839
48007,631.2556227239202
25001,52.703321864686366
25013,1.2224513835486903
25025,0.09142960850725323
26033,315.2588628998434
26053,117.4266693941999
26063,206.1363451550796
26097,290.0200852485361
26115,210.05814811880165
13283,211.2157845213266
13289,206.95885652200843
13313,146.6606700305966
13317,124.45987909442486
15001,30.7169495120383
15009,10.583175159405108
16059,198.8231347292708
16073,262.7931072464346
16083,313.6574331301094
16087,134.06596590914302
17027,30.314457646686343
17031,3.5567797286531486
17047,105.32100326025908
49029,211.05171624046352
49035,209.36575400000356
49043,176.74705400277062
49049,180.6290033528533
51015,35.127741541386406
51037,68.40857985977017
51051,105.69573369561977
51053,32.64832130529672
51069,41.77649286124666
51073,25.4025576056221
51085,11.497376362124054
51099,37.0714700798837
51125,29.40083569498381
51131,36.48200770195224
51137,28.43959662140394
51145,19.39943663437373
51149,27.864782713391772
51161,3.72026915719525
51177,40.270089427802766
51185,86.6599986700808
51199,14.237068043206444
