GEOID,Miles to the nearest clinic
21007,119.15065124121786
21017,21.466834512589895
21031,72.30217682150663
21065,37.37492424742291
21069,51.3200214118898
21093,39.20710352755586
21099,65.44488807063087
21131,73.06547707810536
21151,23.847860907675283
21155,51.66425423491104
21179,34.356261935380154
17091,28.318956763838013
17187,25.91944889330046
17197,15.666330275972244
18027,42.95096020049973
18061,19.201423995668968
01001,22.810498160711425
01005,50.391919365943224
01023,92.89284854784454
01035,66.23620904119281
01051,16.177902393656723
01055,57.58885527449393
01065,32.002339435107594
01089,4.932219256141715
01113,19.7077858869864
01117,17.81210221323169
02130,231.96986737534195
02180,461.8396084810594
02282,221.90113042676325
05011,88.74624056656097
05015,35.87906973801719
05019,65.37907764264575
05025,59.182107973877976
05063,83.02556266953215
05067,74.38117611686626
05121,100.09698329497172
06001,1.882791538812602
06003,54.30521557527628
06005,36.45123162390403
06013,6.31887569408343
06019,7.643374565356854
06023,14.78949654203344
06033,11.348849193975571
06037,13.463304269072394
06047,16.072020407986603
06057,15.013552673769452
06081,7.182990947227466
06085,9.208928250961694
06115,17.20315078978524
08013,6.109938128342375
08029,40.62107802158567
08049,38.432301768796705
08077,6.9894295057537255
08083,0.9983513171384096
08091,62.94007767893843
09009,6.293930496622124
11001,0.8579227364269979
12009,36.21732867781709
12023,41.58555176335409
12039,18.777072238975816
12055,52.85848976080964
12065,20.516850412343963
12073,2.3639093132116047
12095,3.6185386818853575
12107,35.90030337667635
12123,47.32155256982172
12127,12.965114490578753
12131,63.971984217959985
12133,80.05565647714324
13009,71.4959344187464
13027,47.31165476123252
13103,25.57162693564366
13121,4.238328794023762
13141,54.33006006464948
13149,42.96867453427394
13179,27.084635719390235
13183,42.55639075355463
13189,22.187477034821715
13209,84.63064680235489
13229,80.24039718051093
13267,56.361369064301776
13271,108.3790141101039
13291,57.27258360289844
13305,58.30597898080853
13319,78.12554699993865
15007,118.92415099382237
16015,34.78595499902889
16023,103.81044988116015
16025,64.80146412867377
16027,17.22607972249436
16037,104.7414956663649
16039,40.46739214480665
16043,62.82960484416317
16061,48.818664590963145
16063,35.03571116670573
16085,84.16345129621828
19175,6.8354017680420505
20053,84.59592716781832
20095,46.26467592385222
20135,152.0400698931265
20199,166.26955994072742
48011,214.75244069484975
48025,48.432121784470354
48035,36.51981431519496
48053,32.911894562908
48055,27.825724261457943
48083,112.81407000782464
29057,91.8193687058998
29143,99.94205245346346
29157,62.18634709661077
29189,10.403889321561484
29199,60.06852614520992
29207,117.15074250845429
30015,47.72667804891292
30023,61.11010798974798
30029,15.168566353767067
30039,41.521976040814955
30057,70.306511576359
30071,165.48057871643505
30077,45.2460694874448
30085,236.4223518752178
30087,89.03547848040462
30105,195.23270164369367
31091,214.05130780561055
53065,54.14943365961808
21189,61.24309836466189
21195,61.21265907892967
21217,62.582213835385275
21237,59.11671413825169
21239,12.424882685398153
22001,76.09658708797153
22009,66.76940319608374
22011,61.30856605450803
22029,74.87357384765981
22031,29.37878323089014
22033,6.5314975441108105
22047,17.466421195684095
22071,13.763753554098496
22081,35.35463834845626
22099,37.5178758428835
22119,25.151526100968585
23013,6.970983502370997
23015,2.3990948747727736
24003,5.564440573277166
18103,48.45697590039652
18129,106.778899471539
18147,69.59145388542565
19001,20.348681920257967
19045,24.08373772435674
19083,32.71210069040252
19111,22.84104779666951
31167,58.17553538938921
34003,2.5594793149728474
34007,4.141664031579915
34013,2.0635128625576673
34023,1.8519024151875365
34041,6.860882072257346
35007,90.019805948036
35011,126.29137355937624
35051,61.949363649535584
36013,51.96802535318398
36029,5.623666096432652
36043,26.661738627379144
36045,5.241186883517415
36047,1.071328214087052
36053,23.101306088596075
36065,13.984095900814047
36077,28.31590993948305
36081,0.713736864639998
36091,3.6462099094591616
36115,9.7490513883352925
37007,42.5164606241023
37027,57.950722500084105
37039,56.96635017708292
37049,78.97452768196482
37055,74.21593205194198
37059,17.51726100238638
37069,26.178362816807823
37083,62.410706304452894
37091,53.78942637193995
37093,16.348062815001917
37099,38.81049313229648
37111,28.764061148371347
37117,85.06120604439032
37127,37.55325287351986
37165,33.86313159771704
37175,29.525883982252907
37199,24.64675807075567
38017,22.196282245422054
38037,233.71553136184872
38085,209.65129666295192
38099,111.97847532570532
39035,5.0531672293313346
39039,45.108717555401626
39043,52.660316940929945
39125,35.98790695956576
40065,117.92791508159732
48103,234.769961730996
48141,14.254409042871908
48151,170.9404550774489
48161,63.59052017127155
48167,28.4674686830472
48199,22.78297056689369
48213,66.9545092446924
48229,67.83898350606492
48241,45.90312883773305
48245,13.910240318934532
48261,52.66867756963168
48289,49.23850773691859
48317,262.995100085861
48333,58.96391657999302
48347,78.96752515267313
48361,14.817063242643789
48371,232.30563262062736
48395,28.52833763426672
48423,90.00555458880484
48427,40.069094680017734
48457,49.38911395155474
48471,45.729671930093275
48475,199.70650638364356
48477,29.8393833170086
48499,80.05883581896079
49001,176.50242051875114
49003,81.88886401831243
49011,20.087791899383443
40073,33.361508600939665
40079,90.19667773225606
40145,24.126003908243643
41005,23.857543030777546
41021,75.96249926817205
41033,13.419885679550053
41035,63.436223084508526
41039,12.128437775349662
41043,36.4668030990845
41051,3.2216159930365604
41055,82.39640601948228
41061,53.89965166476755
42005,34.216913324003336
42029,7.426596773528163
42035,69.88638393034901
42059,42.23703030354578
42067,31.16069060235736
42091,6.260884997933399
42111,58.27786938078478
45005,49.16964416502041
45019,3.7103011582248784
45025,52.7444103325209
45043,58.49069339886174
45063,17.305011869209576
45077,18.10304065679405
45091,20.139463782539504
46073,98.768042127598
46093,294.8816675892828
46095,198.51140279321172
46123,155.21773796982444
47001,17.98328301599276
47003,42.07024500794176
47005,71.18547234595412
47019,21.309984651557706
47029,39.059961048004006
47049,62.353078144332095
47063,38.5966717553372
47073,41.68032895170762
47081,44.96914751545976
47097,43.96459157257365
47121,57.38225678671533
47149,23.05947192237908
47173,20.825617570638627
48007,42.422706543636394
25001,52.703321864686366
25013,1.2224513835486903
25025,0.09142960850725323
26033,68.62063572114963
26053,110.17743893894864
26063,54.29651773244441
26097,50.84100390899555
26115,16.37487961721384
13283,79.4878687536122
13289,85.49994837103321
13313,63.296228679645374
13317,42.425072391203955
15001,30.7169495120383
15009,10.583175159405108
16059,133.12128545568416
16073,71.15899584138954
16083,17.176505573703967
16087,61.18531176906834
17027,30.314457646686343
17031,3.5567797286531486
17047,96.78127660220184
49029,26.996413019157924
49035,3.081949521572849
49043,48.08693311163963
49049,40.304705968254765
51015,35.127741541386406
51037,68.40857985977017
51051,37.46773515841545
51053,32.64832130529672
51069,41.77649286124666
51073,25.4025576056221
51085,11.497376362124054
51099,37.0714700798837
51125,29.40083569498381
51131,36.48200770195224
51137,28.43959662140394
51145,19.39943663437373
51149,27.864782713391772
51161,3.72026915719525
51177,40.270089427802766
51185,51.77729462508776
51199,14.237068043206444
53005,14.016317043649694
53007,34.705660926335234
53009,23.295290489396393
53015,38.747541935804456
53025,42.88955965608531
53031,26.105270841118497
53037,26.281141456668394
53043,47.69562847531582
12077,35.78063312080724
05061,101.84218796568176
05093,42.753961975451745
05095,67.65288854137498
