GEOID,Miles to the nearest clinic
21007,119.15065124121786
21017,141.58754545688322
21031,135.09205990961425
21065,164.1748008364115
21069,160.37406289915543
21093,105.66965953680358
21099,133.24670834752175
21131,112.8512577193094
21151,157.74559387224977
21155,130.5840709527499
21179,110.10731540455195
17091,28.318956763838013
17187,52.31136155731438
17197,15.666330275972244
18027,42.95096020049973
18061,70.54561411139989
01001,145.11254521245672
01005,116.04285154306746
01023,121.95477752393744
01035,66.23620904119281
01051,158.53243320695356
01055,224.41597155299496
01065,158.4120246720478
01089,233.1247068619971
01113,136.12478105955975
01117,194.08997078168025
02130,231.96986737534195
02180,461.8396084810594
02282,221.90113042676325
05011,354.9777952438512
05015,188.37056509330068
05019,339.8194359756122
05025,346.7055139734522
05063,215.6986815392475
05067,217.83588749882784
05121,166.01808667505608
06001,1.882791538812602
06003,54.30521557527628
06005,36.45123162390403
06013,6.31887569408343
06019,7.643374565356854
06023,14.78949654203344
06033,11.348849193975571
06037,13.463304269072394
06047,16.072020407986603
06057,15.013552673769452
06081,7.182990947227466
06085,9.208928250961694
06115,17.20315078978524
08013,6.109938128342375
08029,40.62107802158567
08049,38.432301768796705
08077,6.9894295057537255
08083,0.9983513171384096
08091,62.94007767893843
09009,6.293930496622124
11001,0.8579227364269979
12009,36.21732867781709
12023,41.58555176335409
12039,18.777072238975816
12055,52.85848976080964
12065,20.516850412343963
12073,2.3639093132116047
12095,3.6185386818853575
12107,35.90030337667635
12123,47.32155256982172
12127,12.965114490578753
12131,63.971984217959985
12133,80.05565647714324
13009,177.621409214084
13027,47.31165476123252
13103,143.67812329790328
13121,164.616924642537
13141,161.2764309460447
13149,201.4968360538127
13179,105.89237677830047
13183,100.87180313481664
13189,144.66272983326866
13209,140.81495375764996
13229,81.90663135102915
13267,123.7148021837319
13271,127.3301307174702
13291,96.23159977213638
13305,88.65982750892398
13319,173.38691863772567
15007,118.92415099382237
16015,191.3574146426437
16023,185.3456966323363
16025,238.6029219732291
16027,185.88290784539333
16037,182.11552977057156
16039,233.86987190975495
16043,108.5315814371118
16061,48.818664590963145
16063,254.90889004414063
16085,155.55946565071045
19175,87.18904941089022
20053,84.59592716781832
20095,46.26467592385222
20135,152.0400698931265
20199,166.26955994072742
48011,264.4244383801571
48025,581.7773574130654
48035,398.8618762876994
48053,477.77068719405673
48055,540.8436114057008
48083,421.8867355875756
29057,111.78894714432292
29143,139.49602655520798
29157,62.18634709661077
29189,16.683119285708905
29199,134.6687693662317
29207,120.33078100694703
30015,47.72667804891292
30023,61.11010798974798
30029,15.168566353767067
30039,41.521976040814955
30057,70.306511576359
30071,165.48057871643505
30077,45.2460694874448
30085,236.4223518752178
30087,89.03547848040462
30105,195.23270164369367
31091,214.05130780561055
53065,54.14943365961808
21189,140.2838195562765
21195,129.06311870389254
21217,140.18766935045662
21237,156.42576218264415
21239,123.97196485085225
22001,309.8580786319793
22009,286.7580628129918
22011,364.65651298634594
22029,270.0641421210931
22031,399.93644402877686
22033,230.69301445935977
22047,246.66306910142427
22071,164.04915723797475
22081,378.038696899249
22099,269.33110261839767
22119,391.2842490789407
23013,6.970983502370997
23015,2.3990948747727736
24003,5.564440573277166
18103,48.45697590039652
18129,106.778899471539
18147,83.24504971188605
19001,75.94663197289772
19045,78.80033267788187
19083,120.04302760352697
19111,97.98754370633829
31167,73.22877590744561
34003,2.5594793149728474
34007,4.141664031579915
34013,2.0635128625576673
34023,1.8519024151875365
34041,6.860882072257346
35007,90.019805948036
35011,126.29137355937624
35051,61.949363649535584
36013,51.96802535318398
36029,5.623666096432652
36043,26.661738627379144
36045,5.241186883517415
36047,1.071328214087052
36053,23.101306088596075
36065,13.984095900814047
36077,28.31590993948305
36081,0.713736864639998
36091,3.6462099094591616
36115,9.7490513883352925
37007,42.5164606241023
37027,61.41805314461039
37039,90.6642938768152
37049,78.97452768196482
37055,74.21593205194198
37059,17.51726100238638
37069,26.178362816807823
37083,62.410706304452894
37091,53.78942637193995
37093,16.348062815001917
37099,38.81049313229648
37111,28.764061148371347
37117,85.06120604439032
37127,37.55325287351986
37165,33.86313159771704
37175,29.525883982252907
37199,24.64675807075567
38017,226.50055669555377
38037,331.05920865550183
38085,359.128645407875
38099,284.551000540193
39035,109.8316058996382
39039,93.26048851952086
39043,150.6173752979538
39125,94.07084439442002
40065,244.3337701333908
48103,243.9315859515223
48141,23.60398399704619
48151,369.3175994607968
48161,416.77956907436675
48167,474.99385464044934
48199,427.69271404604547
48213,385.4274655662437
48229,77.83112662973268
48241,405.2928790450381
48245,417.0216048781508
48261,634.8882402077545
48289,445.97225758024587
48317,275.974158196544
48333,432.8221040986937
48347,444.5231899712364
48361,399.1691182191552
48371,242.1769725081588
48395,460.5848912033665
48423,382.9247724414282
48427,599.3657289591458
48457,426.2279820583872
48471,488.1857455749987
48475,208.84124092813417
48477,516.9197219611733
48499,353.88754152485916
49001,180.99500032331557
49003,291.8949896816411
49011,229.51229594326315
40073,125.10687231397335
40079,239.44856058241615
40145,153.3222845990039
41005,23.857543030777546
41021,75.96249926817205
41033,13.419885679550053
41035,63.436223084508526
41039,12.128437775349662
41043,36.4668030990845
41051,3.2216159930365604
41055,82.39640601948228
41061,53.89965166476755
42005,34.216913324003336
42029,7.426596773528163
42035,69.88638393034901
42059,42.23703030354578
42067,31.16069060235736
42091,6.260884997933399
42111,58.27786938078478
45005,149.84210221703464
45019,150.4829749785687
45025,52.7444103325209
45043,96.87365070000234
45063,87.2274180066095
45077,48.759177030263416
45091,20.139463782539504
46073,232.3056190911793
46093,294.8816675892828
46095,287.10094877722395
46123,242.11341820681724
47001,99.09692881450664
47003,220.07191689474783
47005,203.84779089996323
47019,53.24394745398404
47029,39.059961048004006
47049,143.8384854910051
47063,58.42442298195596
47073,61.95196342996513
47081,237.33549327319477
47097,196.7415973565134
47121,127.40859461871484
47149,217.95263533118117
47173,86.26981697182839
48007,606.0424008949893
25001,52.703321864686366
25013,1.2224513835486903
25025,0.09142960850725323
26033,315.2588628998434
26053,117.4266693941999
26063,206.1363451550796
26097,290.0200852485361
26115,139.33260634857965
13283,156.21384810980186
13289,159.60420746424933
13313,146.6606700305966
13317,124.45987909442486
15001,30.7169495120383
15009,10.583175159405108
16059,133.12128545568416
16073,262.7931072464346
16083,306.1656001901787
16087,134.06596590914302
17027,30.314457646686343
17031,3.5567797286531486
17047,96.78127660220184
49029,211.05171624046352
49035,209.36575400000356
49043,176.74705400277062
49049,180.6290033528533
51015,35.127741541386406
51037,68.40857985977017
51051,105.69573369561977
51053,32.64832130529672
51069,41.77649286124666
51073,25.4025576056221
51085,11.497376362124054
51099,37.0714700798837
51125,29.40083569498381
51131,36.48200770195224
51137,28.43959662140394
51145,19.39943663437373
51149,27.864782713391772
51161,3.72026915719525
51177,40.270089427802766
51185,86.6599986700808
51199,14.237068043206444
53005,14.016317043649694
53007,34.705660926335234
53009,23.295290489396393
53015,38.747541935804456
53025,42.88955965608531
53031,26.105270841118497
53037,26.281141456668394
53043,47.69562847531582
12077,35.78063312080724
05061,308.5065117519796
05093,195.6304370368931
05095,278.83335705972803
05099,355.5885344240098
05103,374.77392837693304
05109,316.13522289699506
05117,274.1938441958403
05133,305.7085271948466
05147,245.53238507631903
06045,21.972039366215363
06051,90.9817187019388
24011,14.855678922512547
24033,1.7940545014423976
24043,5.5354302259620125
25007,48.72174813015095
25017,12.389171996497437
26041,248.6704785271684
26099,182.17000229150136
26103,213.56979311355525
26135,231.4501448067121
26147,184.23994300969903
26163,156.47105433335986
27023,108.5097496279983
27053,7.227392508906956
27077,189.30751500164223
27091,102.66306297821116
27129,81.60935329217929
27139,18.588075664294696
27163,15.884270453872409
28007,226.26535929898603
28033,256.8383636309922
28055,270.6262067582677
28075,156.80323467245435
28143,273.11267737403773
28157,247.09989616212823
28163,244.52027217781753
29023,131.9743813345321
29029,119.07040302074458
29031,85.43503240170763
29033,64.13391949141175
17075,48.80152751045301
17129,16.2969564234321
17161,68.55855678397907
17175,23.64527587845726
17185,86.2383448009007
18009,61.60138876850968
18035,46.77897803383722
18067,38.11551956266925
18083,57.71342476418195
18159,29.426429206536003
18175,45.18880452988699
49025,181.96089775872167
05003,325.48716260870196
05007,179.79651454852495
05013,374.8686801054312
05045,271.34506089242467
13051,121.05442257745612
13077,198.69113919285036
13123,123.94058345223915
13133,142.34673656554955
13137,85.74581660417235
13139,112.93031692832602
13143,195.07323961312983
13157,115.1439570464574
13171,180.564585363045
13181,123.32316767116986
13185,63.36335489639056
13195,106.85514277524396
13213,135.6726339193647
13217,157.9901870100527
13237,162.57800272479352
13245,139.57101729665482
13251,168.9911434923266
13269,144.59538488585667
13279,133.1576751296858
23023,18.71505034138648
23031,25.6977091622843
24001,51.94426580208467
24005,5.891932709800844
24017,21.219125523841583
24021,2.116380614426465
24031,1.584654099665834
24045,2.567274844641408
28149,249.7891999551794
28151,291.3147934989378
29041,93.61742915291772
29069,160.65672398125824
29087,74.22708365498319
29113,50.41468496561792
29159,74.26360396120508
