long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict
-88.99925588790599,37.05848196151126,0500000US21007,Ballard,21,119.15065124121786,119.15065124121786,119.15065124121786
-84.21715057159767,38.206734523891825,0500000US21017,Bourbon,21,201.9513437765547,21.466834512589895,141.58754545688322
-86.68162334436694,37.20728450373767,0500000US21031,Butler,21,204.35003520620197,72.30217682150663,135.09205990961425
-83.96431121510733,37.69244422776389,0500000US21065,Estill,21,164.1748008364115,37.37492424742291,164.1748008364115
-83.69665601061618,38.37011818113647,0500000US21069,Fleming,21,201.15982667478127,51.3200214118898,160.37406289915543
-85.96344816543316,37.69792374818524,0500000US21093,Hardin,21,205.7813516038504,39.20710352755586,105.66965953680358
-85.8846912560647,37.29993003166707,0500000US21099,Hart,21,219.526472744818,65.44488807063087,133.24670834752175
-83.38112755259047,37.09406862011726,0500000US21131,Leslie,21,112.85125771930939,73.06547707810536,112.85125771930939
-84.27800422693792,37.72018252481455,0500000US21151,Madison,21,174.77348717575748,23.847860907675283,157.74559387224977
-85.2696360969847,37.55253601149239,0500000US21155,Marion,21,202.36774050839296,51.66425423491104,130.5840709527499
-85.46595801631123,37.80515400468784,0500000US21179,Nelson,21,217.3549219884542,34.356261935380154,110.10731540455195
-87.86183129291,41.13771025944149,0500000US17091,Kankakee,17,28.318956763838013,28.318956763838013,28.318956763838013
-90.61501039458098,40.84881676009008,0500000US17187,Warren,17,52.31136155731438,25.91944889330046,52.31136155731438
-87.97864242061807,41.44504270341641,0500000US17197,Will,17,15.666330275972243,15.666330275972243,15.666330275972243
-87.07204460521864,38.702406074155824,0500000US18027,Daviess,18,114.46653820891848,42.95096020049973,42.95096020049973
-86.11130682871247,38.195171524840624,0500000US18061,Harrison,18,173.839408762259,19.201423995668968,70.54561411139989
-86.64273013579928,32.53492293233007,0500000US01001,Autauga,01,314.73677847338803,22.810498160711425,145.11254521245672
-85.39320978904955,31.86958143837052,0500000US01005,Barbour,01,303.5446624778969,50.391919365943224,116.04285154306746
-88.26317981014293,32.01977172103753,0500000US01023,Choctaw,01,409.9429934805167,92.89284854784454,121.95477752393744
-86.99366150741868,31.429236930310633,0500000US01035,Conecuh,01,384.0571756654376,66.23620904119281,66.23620904119281
-86.14915715472368,32.59664749802986,0500000US01051,Elmore,01,291.1859488463519,16.177902393656723,158.53243320695356
-86.03476332711031,34.04525667028645,0500000US01055,Etowah,01,224.41597155299496,57.58885527449393,224.41597155299496
-87.62914936739493,32.762663458513764,0500000US01065,Hale,01,349.59978734651764,32.002339435107594,158.4120246720478
-86.55022471700592,34.763090473840954,0500000US01089,Madison,01,233.12470686199714,4.932219256141715,233.12470686199714
-85.18492486742693,32.28839324250384,0500000US01113,Russell,01,272.6292530238847,19.7077858869864,136.12478105955975
-86.66066541358082,33.26427760132031,0500000US01117,Shelby,01,283.72947704279056,17.81210221323169,194.08997078168022
-130.91731962010527,55.59624494142235,0500000US02130,Ketchikan Gateway,02,231.96986737534195,231.96986737534195,231.96986737534195
-163.50933823871895,65.03957521255546,0500000US02180,Nome,02,461.8396084810594,461.8396084810594,461.8396084810594
-140.35869879391544,59.88925333282652,0500000US02282,Yakutat,02,221.90113042676325,221.90113042676325,221.90113042676325
-92.16239824122778,33.46641993386118,0500000US05011,Bradley,05,374.37853905453466,88.74624056656097,354.9777952438512
-93.5382381949639,36.34101968354592,0500000US05015,Carroll,05,188.37056509330068,35.87906973801719,188.37056509330068
-93.17636676606,34.0509706705481,0500000US05019,Clark,05,339.8194359756122,65.37907764264575,339.8194359756122
-92.18518895822815,33.89837312499962,0500000US05025,Cleveland,05,346.7055139734522,59.182107973877976,346.7055139734522
-91.56970871311538,35.741572485255745,0500000US05063,Independence,05,215.6986815392475,83.02556266953215,215.6986815392475
-91.21456610234549,35.59922211058361,0500000US05067,Jackson,05,217.83588749882782,74.38117611686626,217.83588749882782
-91.027708532636,36.34145903247183,0500000US05121,Randolph,05,166.01808667505608,100.09698329497172,166.01808667505608
-121.8888674772482,37.646893227797406,0500000US06001,Alameda,06,1.882791538812602,1.882791538812602,1.882791538812602
-119.820669745648,38.597196767228134,0500000US06003,Alpine,06,54.30521557527628,54.30521557527628,54.30521557527628
-120.6510933357475,38.446391491107605,0500000US06005,Amador,06,36.451231623904036,36.451231623904036,36.451231623904036
-121.92778819191408,37.91912233718671,0500000US06013,Contra Costa,06,6.31887569408343,6.31887569408343,6.31887569408343
-119.64930723797735,36.75819764008805,0500000US06019,Fresno,06,7.643374565356854,7.643374565356854,7.643374565356854
-123.87562886550928,40.699297540509875,0500000US06023,Humboldt,06,14.78949654203344,14.78949654203344,14.78949654203344
-122.75318988621318,39.09961720724347,0500000US06033,Lake,06,11.348849193975573,11.348849193975573,11.348849193975573
-118.2170295059723,34.35891073731498,0500000US06037,Los Angeles,06,13.463304269072394,13.463304269072394,13.463304269072394
-120.7176523128533,37.191889864963954,0500000US06047,Merced,06,16.072020407986603,16.072020407986603,16.072020407986603
-120.76845107181428,39.30136305923049,0500000US06057,Nevada,06,15.013552673769453,15.013552673769453,15.013552673769453
-122.32901653804451,37.422897429607005,0500000US06081,San Mateo,06,7.182990947227466,7.182990947227466,7.182990947227466
-121.6951263091578,37.23178503059815,0500000US06085,Santa Clara,06,9.208928250961694,9.208928250961694,9.208928250961694
-121.35126426384971,39.269007183534754,0500000US06115,Yuba,06,17.20315078978524,17.20315078978524,17.20315078978524
-105.35812318153468,40.0926602202936,0500000US08013,Boulder,08,6.109938128342375,6.109938128342375,6.109938128342375
