long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-86.11130682871247,38.195171524840624,0500000US18061,Harrison,18,173.839408762259,19.201423995668968,70.54561411139989,05000US18061,20159,1960,18045,0.09797550612346913,1176,20095,0.058522020403085344
-86.64273013579928,32.53492293233007,0500000US01001,Autauga,01,314.73677847338803,22.810498160711425,145.11254521245672,05000US01001,28587,4977,23423,0.17524647887323944,2139,28309,0.07555900950227842
-85.39320978904955,31.86958143837052,0500000US01005,Barbour,01,303.5446624778969,50.391919365943224,116.04285154306746,05000US01005,11870,3803,7921,0.32437734561583076,1116,11754,0.09494640122511486
-88.26317981014293,32.01977172103753,0500000US01023,Choctaw,01,409.9429934805167,92.89284854784454,121.95477752393744,05000US01023,6723,1395,5202,0.21145975443383355,500,6655,0.07513148009015777
-86.99366150741868,31.429236930310633,0500000US01035,Conecuh,01,384.0571756654376,66.23620904119281,66.23620904119281,05000US01035,6268,1198,5064,0.19131267965506227,662,6262,0.10571702331523475
-86.14915715472368,32.59664749802986,0500000US01051,Elmore,01,291.1859488463519,16.177902393656723,158.53243320695356,05000US01051,42138,4857,36125,0.11851544580547557,2763,40865,0.06761287165055671
-86.03476332711031,34.04525667028645,0500000US01055,Etowah,01,224.41597155299496,57.58885527449393,224.41597155299496,05000US01055,53190,9664,42661,0.1846918299092212,5159,52758,0.0977861177451761
-87.62914936739493,32.762663458513764,0500000US01065,Hale,01,349.59978734651764,32.002339435107594,158.4120246720478,05000US01065,7748,1946,5686,0.254979035639413,423,7632,0.055424528301886794
-86.55022471700592,34.763090473840954,0500000US01089,Madison,01,233.1247068619971,4.932219256141715,233.1247068619971,05000US01089,188110,23666,160635,0.12840950401788379,12930,186670,0.06926662023892431
-85.18492486742693,32.28839324250384,0500000US01113,Russell,01,272.6292530238847,19.7077858869864,136.12478105955975,05000US01113,30129,7236,22501,0.24333322123953324,2807,29884,0.09392986213358319
-86.66066541358082,33.26427760132031,0500000US01117,Shelby,01,283.72947704279056,17.81210221323169,194.08997078168025,05000US01117,111753,8363,101906,0.0758418050404012,6313,111242,0.05675014832527283
-130.91731962010527,55.59624494142235,0500000US02130,Ketchikan Gateway,02,231.96986737534195,231.96986737534195,231.96986737534195,05000US02130,6701,658,6008,0.09870987098709871,582,6655,0.08745304282494365
-163.50933823871895,65.03957521255546,0500000US02180,Nome,02,461.8396084810594,461.8396084810594,461.8396084810594,05000US02180,4760,1040,3596,0.22433132010353754,742,4740,0.15654008438818565
-140.35869879391544,59.88925333282652,0500000US02282,Yakutat,02,221.90113042676325,221.90113042676325,221.90113042676325,05000US02282,243,15,228,0.06172839506172839,36,243,0.14814814814814814
-92.16239824122778,33.46641993386118,0500000US05011,Bradley,05,374.37853905453466,88.74624056656097,354.9777952438512,05000US05011,5703,1130,4515,0.20017714791851196,575,5649,0.10178792706673748
-93.5382381949639,36.34101968354592,0500000US05015,Carroll,05,188.37056509330068,35.87906973801719,188.37056509330068,05000US05015,14084,2175,11758,0.15610421301945024,1318,13985,0.09424383267786915
-93.17636676606,34.0509706705481,0500000US05019,Clark,05,339.8194359756122,65.37907764264575,339.8194359756122,05000US05019,11754,2553,8079,0.24012415349887134,1155,11560,0.09991349480968859
-92.18518895822815,33.89837312499962,0500000US05025,Cleveland,05,346.7055139734522,59.182107973877976,346.7055139734522,05000US05025,4238,695,3474,0.16670664427920365,128,4164,0.03073967339097022
-91.56970871311538,35.741572485255745,0500000US05063,Independence,05,215.6986815392475,83.02556266953215,215.6986815392475,05000US05063,19123,2794,15744,0.15071744524759953,1334,18810,0.0709197235513025
